,idx,title,summary,genres,authors,ban_info
18,19,"Leah on the Offbeat (Simonverse, #3)","Leah Burke—girl-band drummer, master of deadpan, and Simon Spier’s best friend from the award-winning Simon vs. the Homo Sapiens Agenda—takes center stage in this novel of first love and senior-year angst.When it comes to drumming, Leah Burke is usually on beat—but real life isn’t always so rhythmic. An anomaly in her friend group, she’s the only child of a young, single mom, and her life is decidedly less privileged. She loves to draw but is too self-conscious to show it. And even though her mom knows she’s bisexual, she hasn’t mustered the courage to tell her friends—not even her openly gay BFF, Simon.So Leah really doesn’t know what to do when her rock-solid friend group starts to fracture in unexpected ways. With prom and college on the horizon, tensions are running high. It’s hard for Leah to strike the right note while the people she loves are fighting—especially when she realizes she might love one of them more than she ever intended.","Young Adult, LGBT, Contemporary, Romance, Queer, Fiction, Realistic Fiction","Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
19,20,"Love, Creekwood: A Simonverse Novella (Simonverse, #3.5)","A gorgeously romantic new novella set in the world of Becky Albertalli's bestselling and beloved Simonverse novels: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat. It's been more than a year since Simon and Blue turned their anonymous online flirtation into an IRL relationship, and just a few months since Abby and Leah's unforgettable night at senior prom.Now the Creekwood High crew are first years at different colleges, navigating friendship and romance the way their story began - on email.The beloved, award-winning novel, SIMON VS THE HOMO SAPIENS AGENDA is now a major motion picture starring 13 Reasons Why's Katherine Langford and Everything, Everything's Nick Robinson.Praise for Becky Albertalli's SIMONverse novels: 'Worthy of Fault in Our Stars-level obsession.' Entertainment Weekly'I love you, SIMON. I LOVE YOU! And I love this fresh, funny, live-out-loud book."" Jennifer Niven, bestselling author of All the Bright Places, on Simon vs 'I have such a crush on this book! Not only is this one a must read, but it's a must re-read.' Julie Murphy, New York Times bestselling author of Dumplin''Heart-fluttering, honest, and hilarious. I can't stop hugging this book.' Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss","Young Adult, LGBT, Contemporary, Romance, Queer, Fiction, Novella","Albertalli, Becky","Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
20,21,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)","Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now Simon is actually being blackmailed: if he doesn’t play wingman for class clown Martin, his sexual identity will become everyone’s business. Worse, the privacy of Blue, the pen name of the boy he’s been emailing, will be compromised.With some messy dynamics emerging in his once tight-knit group of friends, and his email correspondence with Blue growing more flirtatious every day, Simon’s junior year has suddenly gotten all kinds of complicated. Now, change-averse Simon has to find a way to step out of his comfort zone before he’s pushed out—without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he’s never met.","Young Adult, Romance, LGBT, Contemporary, Fiction, Queer, Realistic Fiction","Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
21,22,"The Upside of Unrequited (Simonverse, #2)","Seventeen-year-old Molly Peskin-Suso knows all about unrequited love—she’s lived through it twenty-six times. She crushes hard and crushes often, but always in secret. Because no matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful.Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly’s totally not dying of loneliness—except for the part where she is. Luckily, Cassie’s new girlfriend comes with a cute hipster-boy sidekick. Will is funny and flirtatious and just might be perfect crush material. Maybe more than crush material. And if Molly can win him over, she’ll get her first kiss and she’ll get her twin back. There’s only one problem: Molly’s coworker Reid. He’s an awkward Tolkien superfan with a season pass to the Ren Faire, and there’s absolutely no way Molly could fall for him. Right?","Young Adult, Contemporary, Romance, LGBT, Fiction, Audiobook, Queer","Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
22,23,"What If It's Us (What If It's Us, #1)","Arthur is only in New York for the summer, but if Broadway has taught him anything, it’s that the universe can deliver a showstopping romance when you least expect it.Ben thinks the universe needs to mind its business. If the universe had his back, he wouldn’t be on his way to the post office carrying a box of his ex-boyfriend’s things.But when Arthur and Ben meet-cute at the post office, what exactly does the universe have in store for them?Maybe nothing. After all, they get separated.Maybe everything. After all, they get reunited.But what if they can’t quite nail a first date . . . or a second first date . . . or a third?What if Arthur tries too hard to make it work . . . and Ben doesn’t try hard enough?What if life really isn’t like a Broadway play?But what if it is?","Romance, Young Adult, LGBT, Contemporary, Queer, Fiction, Audiobook","Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
23,24,Indivisible,"There is a word Mateo Garcia and his younger sister Sophie have been taught to fear for as long as they can remember: deportation. Over the past few years, however, the fear that their undocumented immigrant parents could be sent back to Mexico has started to fade to the back of their minds. And why wouldn't it, when their Ma and Pa have been in the United States for so long, they have American-born children, and they're hard workers and good neighbors?When two ICE agents come asking for Pa, the Garcia family realizes that the lives they've built are about to come crumbling down. And when Mateo returns from school one day to find that his parents have been taken, he'll have to come to terms with the fact that his family's worst nightmare has become a reality.With his Ma and Pa being held in separate detention centers, Mateo must learn how to look after his sister and himself. The choices Mateo makes, and the people he turns to for help, might reunite his family… or tear them apart for good. With his parents’ fate and his own future hanging in the balance, Mateo must figure out who he is and what he is capable of, even as he’s forced to question what it means to be an American teenager in a country that rejects his own mom and dad.INDIVISIBLE is a remarkable and timely story-both powerful in its explorations of immigration in American and deeply intimate in its portrait of a teen boy driven by his fierce, protective love for his parents and his sister.","Young Adult, Contemporary, LGBT, Fiction, Realistic Fiction, Romance, Queer","Aleman, Daniel","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
24,25,The Undefeated,"This poem is a love letter to black life in the United States. It highlights the unspeakable trauma of slavery, the faith and fire of the civil rights movement, and the grit, passion, and perseverance of some of the world's greatest heroes. The text is also peppered with references to the words of Martin Luther King, Jr., Langston Hughes, Gwendolyn Brooks, and others, offering deeper insights into the accomplishments of the past, while bringing attention to the endurance and spirit of those surviving and thriving in the present.","Picture Books, Poetry, History, Nonfiction, Childrens, African American, Biography","Alexander, Kwame","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
25,26,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"""Jarvious Cotton's great-great-grandfather could not vote as a slave. His great-grandfather was beaten to death by the Klu Klux Klan for attempting to vote. His grandfather was prevented from voting by Klan intimidation; his father was barred by poll taxes and literacy tests. Today, Cotton cannot vote because he, like many black men in the United States, has been labeled a felon and is currently on parole.""As the United States celebrates the nation's ""triumph over race"" with the election of Barack Obama, the majority of young black men in major American cities are locked behind bars or have been labeled felons for life. Although Jim Crow laws have been wiped off the books, an astounding percentage of the African American community remains trapped in a subordinate status--much like their grandparents before them.In this incisive critique, former litigator-turned-legal-scholar Michelle Alexander provocatively argues that we have not ended racial caste in America: we have simply redesigned it. Alexander shows that, by targeting black men and decimating communities of color, the U.S. criminal justice system functions as a contemporary system of racial control, even as it formally adheres to the principle of color blindness. The New Jim Crow challenges the civil rights community--and all of us--to place mass incarceration at the forefront of a new movement for racial justice in America.","Nonfiction, History, Race, Politics, Social Justice, Sociology, Anti Racist","Alexander, Michelle","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
26,27,The Absolutely True Diary of a Part-Time Indian,"Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot.Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live.With a foreward by Markus Zusak & interviews with Sherman Alexie and Ellen Forney ","Young Adult, Fiction, Contemporary, Realistic Fiction, Humor, Coming Of Age, Banned Books","Alexie, Sherman","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned in Libraries and Classrooms, Florida, Lee County Schools, March 2022, Administrator; Banned Pending Investigation, Florida, Santa Rosa County District Schools, April 2022, Administrator; Banned in Libraries, Florida, St. Lucie Public Schools, January 2022, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned in Libraries, Georgia, Forsyth County Schools, January 2022, Administrator; Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned in Libraries, Iowa, Ankeny Community School District, November 2021, Formal Challenge; Banned Pending Investigation, Iowa, Ottumwa Community School District, April 2022, Administrator; Banned in Libraries and Classrooms, Kansas, Derby Public Schools, November 2021, Formal Challenge; Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator; Banned in Libraries, Mississippi, Madison County Schools, April 2022, Administrator; Banned Pending Investigation, Oklahoma, Bristow Public Schools, October 2021, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator;"
27,28,Thunder Boy Jr.,"From New York Times bestselling author Sherman Alexie and Caldecott Honor winning Yuyi Morales comes a striking and beautifully illustrated picture book celebrating the special relationship between father and son. Thunder Boy Jr. wants a normal name...one that's all his own. Dad is known as big Thunder, but little thunder doesn't want to share a name. He wants a name that celebrates something cool he's done like Touch the Clouds, Not Afraid of Ten Thousand Teeth, or Full of Wonder. But just when Little Thunder thinks all hope is lost, dad picks the best name...Lightning! Their love will be loud and bright, and together they will light up the sky.","Picture Books, Childrens, Family, Realistic Fiction, Cultural, Fiction, Storytime","Alexie, Sherman","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
28,29,Girls Like Us (2019),"From the celebrated and bestselling author of The Banker's Wife, worlds collide when an FBI agent investigates a string of grisly murders on Long Island that raises the impossible question: What happens when the primary suspect is your father?","Mystery, Thriller, Fiction, Mystery Thriller, Suspense, Crime, Audiobook","Alger, Cristina","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator;"
29,30,The Case for Loving: The Fight for Interracial Marriage,,"Picture Books, Nonfiction, History, Family, Childrens, Biography, African American","Alko, Selina","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
30,31,The House of the Spirits,"FBI Agent Nell Flynn hasn't been home in ten years. Nell and her father, Homicide Detective Martin Flynn, have never had much of a relationship. And Suffolk County will always be awash in memories of her mother, Marisol, who was brutally murdered when Nell was just seven.","Fiction, Magical Realism, Historical Fiction, Fantasy, Spanish Literature, Historical, Novels","Allende, Isabel","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator;"
31,32,The Ballad of Ami Miles,,"Young Adult, Dystopia, LGBT, Science Fiction, Romance, Fiction, Cults","Alley, Kristy Dallas","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
