,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,summary,genres
76,"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,"""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.","Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen"
77,"Anderson, Laurie Halse",Speak,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,"""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.","Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen"
78,"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,"""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.","Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen"
79,"Anderson, Laurie Halse",Speak,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,"""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.","Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen"
80,"Anderson, Laurie Halse",Speak,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,"""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.","Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen"
83,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
84,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
85,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
86,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Iowa,Ankeny Community School District,November 2021,Formal Challenge,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
87,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
88,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Elizabethtown Area School District,April 2022,Formal Challenge,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
89,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Tennessee,Blount County Schools,November 2021,Formal Challenge,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
90,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
91,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
92,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
93,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
94,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
95,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
96,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Greg Gaines is the last master of high school espionage, able to disappear at will into any social environment. He has only one friend, Earl, and together they spend their time making movies, their own incomprehensible versions of Coppola and Herzog cult classics. Until Greg's mother forces him to rekindle his childhood friendship with Rachel. Rachel has been diagnosed with leukemia—cue extreme adolescent awkwardness—but a parental mandate has been issued and must be obeyed. When Rachel stops treatment, Greg and Earl decide the thing to do is to make a film for her, which turns into the Worst Film Ever Made and becomes a turning point in each of their lives. And all at once Greg must abandon invisibility and stand in the spotlight.","Young Adult, Contemporary, Fiction, Humor, Realistic Fiction, Coming Of Age, Banned Books"
137,"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,"'The Handmaid's Tale is both a superlative exercise in science fiction and a profoundly felt moral story'- ANGELA CARTERThe Republic of Gilead offers Offred only one option: to breed. If she deviates, she will, like all dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire — neither Offred's nor that of the two men on which her future hangs.Brilliantly conceived and executed, this powerful evocation of twenty-first-century America gives full rein to Margaret Atwood's devastating irony, wit and astute perception.","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult"
138,"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries,,,,Georgia,Forsyth County Schools,January 2022,Administrator,"'The Handmaid's Tale is both a superlative exercise in science fiction and a profoundly felt moral story'- ANGELA CARTERThe Republic of Gilead offers Offred only one option: to breed. If she deviates, she will, like all dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire — neither Offred's nor that of the two men on which her future hangs.Brilliantly conceived and executed, this powerful evocation of twenty-first-century America gives full rein to Margaret Atwood's devastating irony, wit and astute perception.","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult"
139,"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,"'The Handmaid's Tale is both a superlative exercise in science fiction and a profoundly felt moral story'- ANGELA CARTERThe Republic of Gilead offers Offred only one option: to breed. If she deviates, she will, like all dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire — neither Offred's nor that of the two men on which her future hangs.Brilliantly conceived and executed, this powerful evocation of twenty-first-century America gives full rein to Margaret Atwood's devastating irony, wit and astute perception.","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult"
140,"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,"'The Handmaid's Tale is both a superlative exercise in science fiction and a profoundly felt moral story'- ANGELA CARTERThe Republic of Gilead offers Offred only one option: to breed. If she deviates, she will, like all dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire — neither Offred's nor that of the two men on which her future hangs.Brilliantly conceived and executed, this powerful evocation of twenty-first-century America gives full rein to Margaret Atwood's devastating irony, wit and astute perception.","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult"
141,"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,"'The Handmaid's Tale is both a superlative exercise in science fiction and a profoundly felt moral story'- ANGELA CARTERThe Republic of Gilead offers Offred only one option: to breed. If she deviates, she will, like all dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire — neither Offred's nor that of the two men on which her future hangs.Brilliantly conceived and executed, this powerful evocation of twenty-first-century America gives full rein to Margaret Atwood's devastating irony, wit and astute perception.","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult"
